Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,36.0,86.5,1.82,5.18,6.5,,6.02,,46.25,1.7,2.95,,,,,16.85,89.0,0.6,186.5,0.0,0.0,6.0,752.0,-0.15
2024-01-01 01:00:00,37.0,89.0,1.8,5.1,6.43,,5.17,,45.8,1.43,2.53,,,,,16.7,90.25,0.65,194.5,0.0,0.0,6.0,752.0,-0.1
2024-01-01 02:00:00,32.25,80.0,1.8,5.1,6.43,,8.32,,45.58,2.33,4.05,,,,,16.6,91.25,0.72,209.5,0.0,0.0,6.0,752.0,-0.14
2024-01-01 03:00:00,30.25,75.25,1.8,5.1,6.4,,9.0,,45.48,2.5,4.4,,,,,16.55,92.5,0.6,217.75,0.0,0.0,6.0,752.0,-0.14
2024-01-01 04:00:00,29.0,73.0,1.8,5.1,6.43,,9.75,,45.5,2.7,4.75,,,,,16.58,93.0,0.6,197.25,0.0,0.0,6.25,752.0,-0.16
2024-01-01 05:00:00,30.0,74.75,1.8,5.12,6.43,,9.53,,45.7,2.67,4.67,,,,,16.62,91.0,0.55,202.75,0.0,0.0,6.25,752.0,-0.14
2024-01-01 06:00:00,27.0,69.25,1.8,5.05,6.35,,9.2,,45.15,2.58,4.53,,,,,16.42,91.5,0.55,171.5,0.0,0.0,6.25,752.0,-0.14
2024-01-01 07:00:00,24.0,62.0,1.8,5.12,6.45,,8.87,,45.9,2.47,4.33,,,,,16.77,90.25,0.6,191.0,0.0,0.0,12.5,752.0,-0.15
2024-01-01 08:00:00,25.25,65.5,1.88,5.2,6.5,,8.38,,46.38,2.35,4.07,,,,,16.92,86.25,0.5,193.0,0.0,0.0,42.0,752.0,-0.16
2024-01-01 09:00:00,30.0,74.0,1.9,5.3,6.6,,8.4,,47.3,2.3,4.1,,,,,17.3,85.0,0.6,175.0,0.0,0.0,66.0,752.0,-0.14
2024-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 11:00:00,33.0,81.0,1.9,5.3,6.7,,43.0,,47.8,11.8,20.6,,,,,17.5,77.0,0.5,142.0,0.0,0.0,241.0,752.0,-0.16
2024-01-01 12:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 13:00:00,8.0,32.0,2.1,5.8,7.3,,,,52.9,,,,,,,19.4,68.0,0.5,115.0,0.0,0.0,296.0,752.0,-0.16
2024-01-01 14:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 15:00:00,36.0,87.0,2.1,5.9,7.4,,3.6,,53.73,1.0,1.7,,,,,19.73,70.0,0.67,115.33,0.0,0.0,87.67,752.0,-0.16
2024-01-01 16:00:00,39.5,94.25,2.1,5.8,7.28,,8.55,,52.58,2.42,4.15,,,,,19.3,72.75,0.6,124.25,0.0,0.0,19.0,752.0,-0.16
2024-01-01 17:00:00,39.75,94.75,1.95,5.42,6.78,,9.7,,48.7,2.75,4.8,,,,,17.8,78.0,0.68,132.0,0.0,0.0,6.25,752.0,-0.16
2024-01-01 18:00:00,53.25,121.0,1.9,5.3,6.68,,9.72,,47.6,2.7,4.78,,,,,17.35,82.0,0.78,166.0,0.0,0.0,6.0,752.0,-0.14
2024-01-01 19:00:00,58.75,131.5,1.9,5.22,6.6,,4.6,,47.1,0.9,1.6,,,,,17.18,83.0,0.72,184.75,0.0,0.0,6.0,752.0,-0.15
2024-01-01 20:00:00,64.75,143.75,1.88,5.2,6.5,,7.78,,46.58,2.83,5.0,,,,,16.98,84.25,0.68,132.5,0.0,0.0,6.0,752.0,-0.15
2024-01-01 21:00:00,71.75,159.25,1.8,5.1,6.45,,11.33,,45.82,3.17,5.57,,,,,16.7,86.75,0.78,145.75,0.0,0.0,6.0,752.0,-0.15
2024-01-01 22:00:00,78.5,171.75,1.85,5.15,6.5,,8.8,,46.18,2.48,4.3,,,,,16.82,86.25,0.8,149.5,0.0,0.0,6.0,752.0,-0.14
2024-01-01 23:00:00,95.25,205.25,1.8,5.12,6.45,,7.43,,45.78,2.1,3.63,,,,,16.68,85.75,0.5,207.0,0.0,0.0,6.0,752.0,-0.15
2024-01-02 00:00:00,71.25,158.25,1.8,5.05,6.35,,5.98,,45.12,1.68,2.98,,,,,16.42,87.5,0.48,273.25,0.0,0.0,6.0,752.0,-0.16
2024-01-02 01:00:00,62.5,140.5,1.8,5.05,6.3,,2.5,,45.02,0.47,0.87,,,,,16.4,88.75,0.6,257.0,0.0,0.0,6.0,752.0,-0.14
2024-01-02 02:00:00,49.75,115.25,1.8,5.0,6.3,,3.58,,44.52,0.98,1.7,,,,,16.23,90.0,0.6,246.75,0.0,0.0,6.0,752.0,-0.15
2024-01-02 03:00:00,43.25,101.5,1.8,4.9,6.2,,4.4,,43.9,1.2,2.17,,,,,15.95,90.75,0.57,270.75,0.0,0.0,6.0,752.0,-0.15
2024-01-02 04:00:00,41.25,98.0,1.72,4.88,6.12,,5.08,,43.28,1.42,2.48,,,,,15.75,92.0,0.48,266.75,0.0,0.0,6.0,752.0,-0.14
