Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,100.75,292.25,21.0,30.5,28.25,53.25,6.0,1.0,9.75,2.0,6.75,NA,2.0,4.75,1.75,8.0,95.0,0.0,206.75,NA,NA,8.75,747.0,0.0
2026-01-01 01:00:00,94.5,282.25,21.0,30.75,28.25,49.75,5.0,0.0,9.5,2.0,7.0,NA,0.0,6.0,1.0,7.0,95.0,0.0,199.0,NA,NA,17.0,747.0,0.0
2026-01-01 02:00:00,80.25,257.5,19.75,31.25,27.75,47.75,2.75,0.75,11.75,2.0,7.0,NA,0.0,6.0,1.0,7.0,95.0,0.0,200.25,NA,NA,18.0,747.0,0.0
2026-01-01 03:00:00,73.75,253.0,19.75,31.25,27.5,48.0,5.33,0.0,13.25,2.25,8.0,NA,0.0,1.0,0.0,7.0,95.0,0.0,223.75,NA,NA,24.0,746.0,0.0
2026-01-01 04:00:00,70.75,253.25,19.25,30.25,26.25,61.0,4.5,0.0,15.0,2.25,8.0,NA,0.0,1.0,0.0,6.0,95.0,0.0,226.0,NA,NA,26.0,746.0,0.0
2026-01-01 05:00:00,68.5,249.75,20.0,32.0,28.0,64.75,3.67,0.0,15.0,2.75,6.5,NA,0.0,0.25,0.0,6.0,95.0,0.0,212.75,NA,NA,27.0,746.0,0.0
2026-01-01 06:00:00,69.75,244.25,20.25,32.0,28.5,63.5,3.0,0.0,15.5,3.0,5.25,NA,0.0,0.0,0.0,6.0,95.0,0.0,175.75,NA,NA,24.25,746.0,0.0
2026-01-01 07:00:00,85.5,243.0,21.0,30.25,28.25,65.5,4.33,1.67,22.5,3.0,5.0,NA,0.0,0.0,0.0,6.25,95.0,0.0,219.5,NA,NA,60.75,746.0,0.0
2026-01-01 08:00:00,101.5,266.0,20.5,31.25,28.0,67.75,4.75,2.0,29.5,2.75,5.0,NA,0.0,0.0,0.0,8.0,95.0,0.0,225.5,NA,NA,117.5,747.0,0.0
2026-01-01 09:00:00,112.0,302.0,20.0,31.5,27.5,69.0,4.33,0.33,36.0,1.0,4.0,NA,0.0,0.0,0.0,10.25,95.0,0.0,261.25,NA,NA,162.25,747.5,0.0
2026-01-01 10:00:00,108.75,299.5,21.0,31.75,28.75,68.25,5.75,0.5,44.75,1.0,4.0,NA,0.0,0.0,0.0,12.5,88.25,0.0,230.75,NA,NA,330.5,748.0,0.0
2026-01-01 11:00:00,110.25,280.75,20.75,31.5,28.25,66.5,5.33,0.33,50.25,1.0,4.0,NA,0.0,0.0,0.0,14.0,78.75,0.0,246.5,NA,NA,456.75,748.25,0.0
2026-01-01 12:00:00,101.75,279.75,21.5,30.0,28.5,64.5,4.5,0.5,60.0,1.0,4.0,NA,0.0,0.0,0.0,15.75,71.0,0.0,172.5,NA,NA,376.0,749.0,0.0
2026-01-01 13:00:00,100.0,282.0,19.25,31.5,27.25,66.0,3.33,0.67,60.75,1.0,4.0,NA,0.0,0.0,0.0,16.5,69.0,0.0,69.0,NA,NA,272.0,749.0,0.0
2026-01-01 14:00:00,NA,10.0,19.25,32.25,27.0,65.25,1.5,1.0,66.25,1.0,4.0,NA,0.0,0.0,0.0,16.5,70.0,0.25,105.0,NA,NA,126.25,749.0,0.0
2026-01-01 15:00:00,77.0,162.75,20.0,31.75,27.75,62.0,6.33,1.0,77.5,1.0,4.0,NA,0.0,0.0,0.0,16.0,71.5,0.0,101.25,NA,NA,91.0,749.0,0.0
