Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,105.0,421.0,11.75,32.75,17.75,83.0,8.75,1.0,3.0,2.0,15.0,NA,0.0,1.0,1.0,11.0,98.0,0.0,230.5,NA,NA,37.0,742.0,0.0
2026-01-01 01:00:00,95.0,303.0,9.0,35.0,16.25,83.75,2.0,1.0,2.25,2.0,14.75,NA,0.0,1.0,1.0,10.5,98.0,0.0,246.5,NA,NA,37.0,742.0,0.0
2026-01-01 02:00:00,93.0,326.0,10.25,35.0,17.0,83.75,2.0,1.0,3.0,2.0,14.75,NA,0.0,1.0,1.0,10.0,98.25,0.0,239.75,NA,NA,37.0,742.0,0.0
2026-01-01 03:00:00,102.5,225.5,11.75,34.5,18.5,83.75,3.67,1.25,3.0,2.25,18.25,NA,0.0,1.5,1.25,10.0,99.0,0.0,227.5,NA,NA,37.0,742.0,0.0
2026-01-01 04:00:00,101.5,336.5,10.25,36.0,17.75,74.5,3.25,1.0,2.5,2.0,19.75,NA,0.0,1.5,1.25,10.0,99.0,0.0,277.75,NA,NA,37.0,742.0,0.0
2026-01-01 05:00:00,94.25,326.5,9.25,34.75,16.0,74.0,2.0,1.0,2.5,2.0,19.75,NA,0.0,1.5,1.5,9.75,99.0,0.0,278.0,NA,NA,37.0,742.0,0.0
2026-01-01 06:00:00,89.0,190.0,8.75,33.75,15.25,68.0,2.0,1.0,2.75,2.25,18.0,NA,0.0,2.0,1.25,9.25,99.0,0.0,279.25,NA,NA,37.0,742.0,0.0
2026-01-01 07:00:00,118.0,198.5,8.0,34.25,15.0,65.0,3.0,1.0,3.25,3.0,11.5,NA,0.0,2.0,0.0,9.75,99.0,0.0,240.25,NA,NA,37.0,742.0,0.0
2026-01-01 08:00:00,115.75,378.25,7.25,35.5,14.0,57.75,3.5,1.0,3.75,3.0,11.75,NA,0.25,1.75,0.25,11.0,96.25,0.0,264.25,NA,NA,37.0,742.0,0.0
2026-01-01 09:00:00,110.5,472.5,10.25,35.75,17.25,75.0,3.33,0.5,7.0,3.0,13.75,NA,1.0,1.0,1.0,13.25,85.75,0.0,176.5,NA,NA,37.0,742.0,0.0
2026-01-01 10:00:00,104.25,246.25,11.25,34.0,17.0,69.0,3.25,1.0,12.0,3.0,13.25,NA,1.0,1.0,1.0,15.5,71.75,0.0,279.25,NA,NA,37.0,742.0,0.0
2026-01-01 11:00:00,101.25,193.25,10.25,34.5,16.75,71.5,2.0,0.0,20.25,3.0,13.75,NA,1.0,1.0,1.0,17.25,63.5,0.0,216.0,NA,NA,37.0,742.0,0.0
2026-01-01 12:00:00,110.5,234.25,9.0,35.0,16.25,75.25,2.0,0.0,24.0,3.0,13.25,NA,1.0,1.0,1.0,18.5,57.25,0.0,205.75,NA,NA,37.0,742.0,0.0
2026-01-01 13:00:00,107.25,235.25,13.0,32.75,17.5,63.5,6.33,0.0,41.75,3.0,14.0,NA,1.0,1.0,1.0,19.0,52.25,0.0,151.5,NA,NA,37.0,742.0,0.0
2026-01-01 14:00:00,91.25,241.0,10.0,34.5,16.25,62.75,5.5,1.0,44.0,3.0,13.5,NA,1.0,1.0,1.0,19.75,49.5,0.0,121.5,NA,NA,37.0,742.0,0.0
2026-01-01 15:00:00,95.25,302.5,12.0,33.75,18.25,62.75,2.0,0.5,45.25,3.0,13.5,NA,1.0,1.0,1.0,19.0,53.5,0.0,152.25,NA,NA,37.0,742.0,0.0
2026-01-01 16:00:00,105.33,332.33,11.75,34.0,17.75,75.75,2.25,0.0,24.0,3.0,13.75,NA,1.0,1.0,1.0,18.25,63.75,0.0,136.5,NA,NA,37.0,742.0,0.0
2026-01-01 17:00:00,84.5,93.0,12.5,32.5,17.0,87.0,2.0,0.0,5.75,3.0,13.25,NA,1.0,1.0,1.0,16.5,75.0,0.0,153.0,NA,NA,37.0,742.0,0.0
2026-01-01 18:00:00,83.5,383.25,11.0,35.75,17.0,87.0,2.0,1.67,4.75,2.75,15.0,NA,0.75,0.75,0.75,15.5,81.75,0.0,124.0,NA,NA,37.0,742.0,0.0
2026-01-01 19:00:00,85.0,741.5,11.25,33.0,16.5,86.5,11.0,2.0,4.75,2.0,19.25,NA,0.0,0.0,0.0,15.0,87.25,0.0,142.5,NA,NA,37.0,742.0,0.0
2026-01-01 20:00:00,88.75,513.75,9.0,37.0,15.5,91.5,16.0,0.0,6.5,3.25,17.0,NA,0.0,0.5,0.5,14.25,94.0,0.0,75.33,NA,NA,37.0,742.0,0.0
2026-01-01 21:00:00,92.5,188.5,8.75,36.75,15.5,82.5,2.0,0.0,7.5,4.0,15.0,NA,0.0,1.0,1.0,14.0,97.0,0.0,124.0,NA,NA,37.0,742.0,0.0
2026-01-01 22:00:00,94.25,322.0,12.25,34.75,18.75,79.0,3.0,0.33,6.75,3.0,17.0,NA,0.0,1.0,0.0,13.75,98.0,0.0,40.0,NA,NA,37.0,742.0,0.0
2026-01-01 23:00:00,94.33,573.0,9.33,36.33,16.67,78.67,5.0,0.0,8.33,3.0,17.33,NA,0.0,1.0,0.0,13.0,98.33,0.0,13.0,NA,NA,37.0,742.0,0.0
2026-01-02 00:00:00,95.0,491.25,9.5,35.25,16.5,83.75,5.5,0.67,8.0,2.0,15.0,NA,0.0,1.0,1.0,12.75,99.0,NA,NA,NA,NA,37.25,742.0,0.0
2026-01-02 01:00:00,105.5,300.25,9.5,33.75,15.75,83.0,11.33,0.0,7.25,2.0,15.0,NA,0.0,1.0,1.0,12.0,99.0,NA,NA,NA,NA,38.0,742.0,0.0
2026-01-02 02:00:00,101.25,436.75,12.5,34.0,18.0,83.5,11.0,0.67,7.75,2.0,15.0,NA,0.0,1.0,1.0,12.0,99.0,NA,NA,NA,NA,37.5,742.0,0.0
2026-01-02 03:00:00,97.75,389.0,8.25,33.5,13.0,82.5,3.33,0.25,4.5,2.0,18.0,NA,0.0,1.25,1.0,12.0,99.0,0.0,138.0,NA,NA,37.0,742.0,0.0
2026-01-02 04:00:00,103.67,231.0,12.0,35.0,17.75,74.25,2.25,1.0,6.0,2.0,20.0,NA,0.0,1.5,1.0,11.0,99.0,0.0,143.0,NA,NA,37.0,742.0,0.0
2026-01-02 05:00:00,NA,NA,12.75,35.75,19.0,73.75,2.0,0.25,5.5,2.0,19.5,NA,0.0,1.0,1.0,11.0,99.0,0.0,156.33,NA,NA,37.0,742.0,0.0
2026-01-02 06:00:00,80.5,352.0,10.5,35.25,17.25,67.25,2.0,1.0,4.25,2.25,18.0,NA,0.0,1.75,0.75,11.0,99.0,0.0,137.5,NA,NA,37.0,742.0,0.0
2026-01-02 07:00:00,93.75,304.75,8.75,36.0,16.25,64.25,9.0,1.0,3.0,3.0,11.25,NA,0.0,2.0,0.0,11.0,99.0,0.0,152.5,NA,NA,37.0,742.0,0.0
2026-01-02 08:00:00,104.75,298.25,12.25,34.0,17.75,57.75,7.5,1.0,2.25,3.0,12.25,NA,0.25,1.75,0.25,12.0,99.0,0.0,155.5,NA,NA,37.0,742.0,0.0
2026-01-02 09:00:00,100.0,334.75,11.75,34.5,17.25,74.25,9.0,0.25,4.25,3.0,13.25,NA,1.0,1.0,1.0,12.25,99.0,0.5,154.5,NA,NA,37.0,742.0,0.0
2026-01-02 10:00:00,95.75,233.75,10.75,36.0,17.5,69.5,9.25,0.33,6.0,3.0,13.5,NA,1.0,1.0,1.0,13.0,98.5,0.0,107.75,NA,NA,37.25,742.0,0.0
2026-01-02 11:00:00,99.5,309.25,13.0,34.5,18.25,70.25,2.67,0.0,6.5,3.0,13.25,NA,1.0,1.0,1.0,13.0,98.5,0.0,131.5,NA,NA,37.25,742.0,0.0
2026-01-02 12:00:00,90.5,443.75,10.25,35.75,17.25,75.5,5.25,NA,7.0,3.0,13.75,NA,1.0,1.0,1.0,13.0,98.0,0.0,125.75,NA,NA,37.0,742.0,0.0
2026-01-02 13:00:00,73.25,392.25,9.0,35.0,15.5,63.5,2.0,NA,5.0,3.0,13.75,NA,1.0,1.0,1.0,14.0,97.5,0.0,140.5,NA,NA,37.0,742.0,0.0
2026-01-02 14:00:00,95.0,336.0,13.0,33.75,18.5,62.0,2.0,NA,4.0,3.0,13.75,NA,1.0,1.0,1.0,14.0,97.5,0.0,136.25,NA,NA,37.0,742.0,0.0
2026-01-02 15:00:00,83.0,403.67,12.0,33.25,17.5,63.0,NA,0.0,3.25,3.0,13.5,NA,1.0,1.0,1.0,14.0,98.0,0.0,149.5,NA,NA,37.0,742.0,0.0
2026-01-02 16:00:00,85.25,424.0,8.25,34.0,14.25,76.25,NA,2.67,6.5,3.0,13.5,NA,1.0,1.0,1.0,14.0,98.0,0.0,140.25,NA,NA,37.0,742.0,0.0
2026-01-02 17:00:00,91.25,248.0,14.0,35.0,19.75,84.75,2.0,0.5,7.75,3.0,14.0,NA,1.0,1.0,1.0,13.5,99.0,0.0,149.25,NA,NA,37.0,742.0,0.0
2026-01-02 18:00:00,109.5,193.5,7.5,36.25,13.25,87.75,1.75,0.0,9.25,2.75,15.0,NA,0.75,0.75,0.75,14.0,99.0,0.0,148.75,NA,NA,37.0,742.0,0.0
2026-01-02 19:00:00,115.0,215.0,10.5,35.0,16.75,86.25,4.0,0.0,10.75,2.0,19.0,NA,0.0,0.0,0.0,14.0,99.0,0.0,139.75,NA,NA,37.0,742.0,0.0
2026-01-02 20:00:00,119.25,293.5,10.5,34.5,17.75,91.25,3.75,0.33,9.25,3.0,17.0,NA,0.0,0.5,0.5,14.0,99.0,0.0,150.0,NA,NA,37.0,742.0,0.0
2026-01-02 21:00:00,105.75,380.5,13.25,34.25,19.5,81.25,2.0,0.0,8.75,3.75,15.25,NA,0.0,1.0,1.0,14.0,98.5,0.0,107.25,NA,NA,37.0,742.0,0.0
2026-01-02 22:00:00,92.5,329.0,9.25,34.5,16.25,77.5,1.25,0.0,11.0,3.0,16.75,NA,0.0,1.0,0.0,14.0,98.0,0.0,83.0,NA,NA,37.0,742.0,0.0
2026-01-02 23:00:00,87.0,263.0,9.33,34.33,16.33,79.33,2.0,0.0,11.33,3.0,17.0,NA,0.0,1.0,0.0,13.33,98.0,0.0,135.0,NA,NA,37.0,742.0,0.0
2026-01-03 00:00:00,99.5,147.0,8.5,34.5,15.0,83.25,1.25,0.67,11.75,2.0,15.0,NA,0.0,1.0,1.0,13.0,99.0,0.5,149.75,NA,NA,37.0,742.0,0.0
2026-01-03 01:00:00,98.0,157.0,11.25,32.75,16.75,83.25,2.0,0.25,8.75,2.0,15.25,NA,0.0,1.0,1.0,12.75,99.0,0.5,145.0,NA,NA,37.0,742.0,0.0
2026-01-03 02:00:00,119.0,121.0,11.25,35.0,18.5,83.5,1.25,1.0,10.5,2.0,15.5,NA,0.0,1.0,1.0,12.0,99.0,0.25,145.0,NA,NA,37.0,742.0,0.0
2026-01-03 03:00:00,122.0,125.0,9.25,33.5,15.5,82.75,0.0,1.0,10.0,2.0,18.25,NA,0.0,1.0,1.25,12.0,98.75,0.0,149.25,NA,NA,37.0,742.0,0.0
2026-01-03 04:00:00,NA,NA,9.5,34.0,15.5,74.25,0.25,1.0,11.75,2.0,20.0,NA,0.0,1.0,1.0,12.0,98.0,0.0,148.0,NA,NA,37.0,742.0,0.0
2026-01-03 05:00:00,NA,NA,10.5,33.75,16.75,73.0,8.67,1.0,11.5,2.0,20.0,NA,0.0,1.25,1.75,12.0,98.0,0.0,146.5,NA,NA,37.0,742.0,0.0
2026-01-03 06:00:00,90.5,100.5,10.0,33.0,16.0,68.0,7.75,1.0,10.5,2.5,18.25,NA,0.0,1.25,1.0,12.0,98.0,0.0,154.0,NA,NA,37.0,742.0,0.0
2026-01-03 07:00:00,88.5,109.0,9.75,34.75,16.5,64.25,10.67,0.25,9.75,3.0,11.5,NA,0.0,2.0,0.0,12.0,98.0,0.0,133.5,NA,NA,37.0,742.0,0.0
2026-01-03 08:00:00,85.0,110.0,11.25,34.0,16.75,58.0,10.75,0.33,9.0,3.0,11.75,NA,0.5,1.75,0.25,12.0,98.0,0.0,124.25,NA,NA,37.0,742.0,0.0
2026-01-03 09:00:00,NA,NA,10.5,35.75,17.0,74.25,2.0,1.75,9.25,3.0,13.25,NA,1.0,1.0,1.0,12.5,98.0,0.0,110.25,NA,NA,37.0,742.0,0.0
2026-01-03 10:00:00,84.0,156.5,11.25,34.75,16.75,68.0,2.0,0.0,6.5,3.0,13.5,NA,1.0,1.0,1.0,13.0,95.25,0.0,97.5,NA,NA,37.0,742.0,0.0
2026-01-03 11:00:00,NA,NA,13.0,36.5,20.0,71.25,3.33,0.0,6.5,3.0,13.75,NA,1.0,1.0,1.0,13.0,90.5,0.0,85.5,NA,NA,37.0,742.0,0.0
2026-01-03 12:00:00,60.0,150.0,9.25,34.75,15.75,76.25,4.75,0.0,6.75,3.0,13.0,NA,1.0,0.75,1.0,13.0,86.0,0.0,78.75,NA,NA,37.0,742.0,0.0
2026-01-03 13:00:00,65.0,227.75,10.25,34.75,16.0,63.0,4.0,0.25,11.25,3.0,13.5,NA,1.0,1.0,1.0,14.0,79.25,0.0,127.5,NA,NA,37.0,742.0,0.0
2026-01-03 14:00:00,67.0,255.0,11.5,34.0,17.75,62.5,3.5,1.0,14.5,3.0,13.5,NA,1.0,1.0,1.0,14.5,72.5,0.25,159.0,NA,NA,37.0,742.0,0.0
2026-01-03 15:00:00,NA,NA,10.75,34.5,17.0,62.5,5.0,1.0,14.25,3.0,13.5,NA,1.0,1.0,1.0,15.25,69.75,0.0,161.25,NA,NA,37.0,742.0,0.0
2026-01-03 16:00:00,169.67,351.33,10.0,37.25,17.5,76.25,4.5,1.0,12.75,3.0,14.0,NA,1.0,1.0,1.0,15.0,70.75,0.0,148.5,NA,NA,37.0,742.0,0.0
2026-01-03 17:00:00,170.0,357.0,11.33,32.67,16.67,86.0,NA,1.67,9.0,3.0,13.67,NA,1.0,1.0,1.0,14.33,77.0,0.0,143.33,NA,NA,37.0,742.0,0.0
2026-01-03 18:00:00,266.33,499.67,11.5,35.25,17.25,86.25,NA,0.67,3.5,2.75,15.0,NA,0.75,0.75,0.75,13.0,85.0,0.0,127.5,NA,NA,37.0,742.0,0.0
2026-01-03 19:00:00,266.0,507.0,9.75,35.5,16.25,87.0,1.0,0.0,4.25,2.0,19.5,NA,0.0,0.0,0.0,12.5,90.25,0.0,146.75,NA,NA,37.0,742.0,0.0
2026-01-03 20:00:00,221.33,634.33,11.75,34.25,17.5,91.75,1.75,0.33,5.0,3.25,17.0,NA,0.0,0.5,0.75,12.0,90.25,0.0,145.5,NA,NA,37.0,742.0,0.0
2026-01-03 21:00:00,245.5,588.0,14.25,35.0,20.0,82.75,0.33,0.0,5.25,3.75,15.25,NA,0.0,1.0,1.0,11.75,91.5,0.0,144.0,NA,NA,37.0,742.0,0.0
2026-01-03 22:00:00,255.0,567.0,10.5,33.5,15.5,78.25,0.25,1.0,4.0,3.0,17.0,NA,0.0,1.0,0.0,11.0,97.25,0.0,144.25,NA,NA,37.0,742.0,0.0
2026-01-03 23:00:00,NA,NA,15.33,33.33,20.67,82.0,7.0,1.0,3.67,3.0,16.67,NA,0.0,1.0,0.0,11.0,97.67,0.0,143.0,NA,NA,37.0,742.0,0.0
2026-01-04 00:00:00,272.67,445.67,7.0,34.0,13.25,82.75,6.25,1.0,4.5,2.0,15.0,NA,0.0,1.0,1.0,10.0,98.0,0.0,136.25,NA,NA,37.0,742.0,0.0
2026-01-04 01:00:00,269.5,397.75,13.0,37.25,19.25,82.5,0.0,1.0,4.0,2.0,15.25,NA,0.0,1.0,0.75,10.0,99.0,0.0,131.5,NA,NA,37.0,742.0,0.0
2026-01-04 02:00:00,269.0,378.0,16.25,35.0,20.25,83.5,0.0,1.0,3.25,2.0,15.0,NA,0.0,1.0,1.0,9.0,98.5,0.0,86.67,NA,NA,37.0,742.0,0.0
2026-01-04 03:00:00,NA,NA,16.0,34.0,20.0,83.75,2.0,1.0,4.5,2.0,17.75,NA,0.0,1.0,1.25,9.0,98.25,NA,NA,NA,NA,37.0,742.0,0.0
