Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,43.76,102.78,14.00,8.42,16.08,34.64,21.76,0.45,1.32,8.43,NA,NA,NA,NA,NA,NA,73.27,0.62,314.96,NA,NA,66.18,752.40,0.34
2025-01-01 01:00:00,43.39,102.18,6.06,8.50,9.22,26.56,21.84,0.35,1.78,6.97,NA,NA,NA,NA,NA,NA,74.88,0.74,317.16,NA,NA,29.10,754.32,0.37
2025-01-01 02:00:00,39.53,98.93,9.86,12.00,15.65,35.72,21.97,0.28,2.88,3.80,NA,NA,NA,NA,NA,NA,78.04,0.62,327.22,NA,NA,27.48,753.70,0.24
2025-01-01 03:00:00,34.95,96.80,11.02,3.63,10.86,27.83,22.40,0.56,3.17,5.04,NA,NA,NA,NA,NA,NA,77.09,0.74,322.87,NA,NA,53.55,752.92,0.23
2025-01-01 04:00:00,34.01,90.20,10.12,7.14,12.32,29.20,17.41,0.53,4.33,5.37,NA,NA,NA,NA,NA,NA,76.58,0.79,311.26,NA,NA,50.80,752.62,0.26
2025-01-01 05:00:00,33.98,86.22,12.08,5.51,13.68,32.01,11.86,0.51,4.99,8.43,NA,NA,NA,NA,NA,NA,74.16,0.80,301.97,NA,NA,69.45,752.78,0.25
2025-01-01 06:00:00,37.97,86.50,8.80,8.81,12.95,30.94,11.95,0.52,3.48,10.90,NA,NA,NA,NA,NA,NA,73.62,0.66,319.60,NA,NA,70.22,753.32,0.35
2025-01-01 07:00:00,46.26,87.60,10.21,7.47,11.92,29.85,11.70,0.68,4.03,10.83,NA,NA,NA,NA,NA,NA,73.56,0.73,314.13,NA,NA,82.18,753.75,0.36
2025-01-01 08:00:00,45.92,89.45,12.71,5.40,14.06,30.65,11.94,0.72,8.80,10.95,NA,NA,NA,NA,NA,NA,72.09,0.85,289.53,NA,NA,112.90,754.90,0.51
2025-01-01 09:00:00,41.66,93.72,18.43,7.12,18.16,36.37,10.32,0.79,10.98,10.42,NA,NA,NA,NA,NA,NA,69.61,0.91,289.88,NA,NA,160.38,755.75,0.59
2025-01-01 10:00:00,48.85,103.65,6.21,8.89,9.79,28.04,8.62,0.84,19.45,9.65,NA,NA,NA,NA,NA,NA,68.97,0.78,295.03,NA,NA,176.32,755.98,0.62
2025-01-01 11:00:00,48.01,114.85,9.10,8.02,10.23,27.82,8.63,0.56,25.25,9.78,NA,NA,NA,NA,NA,NA,67.18,0.86,291.46,NA,NA,192.05,755.40,0.61
2025-01-01 12:00:00,40.97,116.98,10.25,5.80,12.62,30.19,7.22,0.52,29.07,9.76,NA,NA,NA,NA,NA,NA,66.22,0.75,290.30,NA,NA,216.82,754.42,0.59
2025-01-01 13:00:00,43.34,116.45,14.68,6.44,16.52,34.67,5.13,0.62,34.65,9.51,NA,NA,NA,NA,NA,NA,59.02,0.88,281.98,NA,NA,396.33,753.00,0.65
2025-01-01 14:00:00,45.60,125.58,9.63,10.07,13.85,32.35,5.14,0.64,37.35,8.18,NA,NA,NA,NA,NA,NA,53.39,0.60,293.92,NA,NA,283.82,750.72,0.61
2025-01-01 15:00:00,50.82,132.85,12.96,8.66,15.16,32.34,5.16,0.27,45.17,3.43,NA,NA,NA,NA,NA,NA,53.60,0.74,296.52,NA,NA,137.55,749.62,0.43
