priority_rank,Timestamp,PM2.5 (µg/m³),predicted_pm25_24h,is_anomaly,risk_score,risk_category,inspection_priority_score,priority_level
1,2026-01-16 21:00:00,268.0,118.79282467634206,1,83.75856493526841,Critical,87.00685194821473,Urgent
2,2026-01-04 21:00:00,211.25,112.51317279437703,1,82.5026345588754,Critical,86.00210764710032,Urgent
3,2026-02-16 23:00:00,206.25,110.03935039729423,1,82.00787007945884,Critical,85.60629606356707,Urgent
4,2026-01-16 23:00:00,285.0,109.3511767810621,1,81.87023535621242,Critical,85.49618828496993,Urgent
5,2026-01-16 22:00:00,284.25,107.64874468049604,1,81.52974893609921,Critical,85.22379914887937,Urgent
6,2026-01-17 00:00:00,284.75,96.84567882275134,1,79.36913576455026,Critical,83.49530861164021,Urgent
7,2026-01-17 13:00:00,235.0,95.7765509065934,1,79.15531018131868,Critical,83.32424814505495,Urgent
8,2026-04-01 01:00:00,200.0,95.60789690690738,1,79.12157938138148,Critical,83.29726350510518,Urgent
9,2026-01-15 08:00:00,261.0,95.52715529677089,1,79.10543105935417,Critical,83.28434484748334,Urgent
10,2026-01-17 04:00:00,284.75,92.80224826575932,1,78.56044965315186,Critical,82.8483597225215,Urgent
11,2026-01-17 03:00:00,284.5,92.31301556776558,1,78.46260311355312,Critical,82.7700824908425,Urgent
12,2026-01-17 07:00:00,284.75,90.75927779812777,1,78.15185555962555,Critical,82.52148444770043,Urgent
13,2026-01-17 06:00:00,284.75,90.73674916056164,1,78.14734983211233,Critical,82.51787986568986,Urgent
14,2026-01-17 05:00:00,284.75,90.28977306734659,1,78.05795461346932,Critical,82.44636369077546,Urgent
15,2026-01-17 01:00:00,284.75,90.06136467236469,1,78.01227293447293,Critical,82.40981834757835,Urgent
16,2026-02-16 22:00:00,192.75,95.67970596405688,1,77.68594119281137,Critical,82.14875295424909,Urgent
17,2026-05-17 20:00:00,293.75,88.02729804780074,1,77.60545960956014,Critical,82.08436768764813,Urgent
18,2026-01-18 06:00:00,234.5,86.32367659171072,1,77.26473531834215,Critical,81.81178825467373,Urgent
19,2026-02-17 00:00:00,192.25,93.12368617517242,1,77.07473723503449,Critical,81.6597897880276,Urgent
20,2026-01-17 02:00:00,284.75,85.27781610659875,1,77.05556322131974,Critical,81.6444505770558,Urgent
21,2026-01-18 05:00:00,218.5,82.10747277151206,1,76.42149455430241,Critical,81.13719564344194,Urgent
22,2026-04-23 16:00:00,200.0,78.00274528483355,1,75.60054905696671,Critical,80.48043924557336,Urgent
23,2026-05-18 09:00:00,185.0,89.29789561804436,1,74.85957912360888,High,79.8876632988871,Urgent
24,2026-05-28 13:00:00,104.0,166.2765236709198,1,74.05530473418396,High,79.24424378734717,Urgent
25,2026-01-04 22:00:00,160.0,109.70582440215651,1,73.9411648804313,High,79.15293190434505,Urgent
26,2026-01-16 20:00:00,159.25,108.00813566172378,1,73.45162713234475,High,78.76130170587581,Urgent
27,2026-05-17 14:00:00,295.25,67.18750855811832,1,73.43750171162367,High,78.75000136929893,Urgent
28,2026-04-29 14:00:00,209.5,67.08108847501728,1,73.41621769500345,High,78.73297415600277,Urgent
29,2026-05-17 17:00:00,293.5,65.85719837624836,1,73.17143967524967,High,78.53715174019973,Urgent
30,2026-01-10 21:00:00,154.25,108.79352634629045,1,72.6087052692581,High,78.08696421540648,Urgent
31,2026-01-04 20:00:00,154.5,108.39041551015151,1,72.5780831020303,High,78.06246648162426,Urgent
32,2026-01-10 23:00:00,155.75,106.81987654230822,1,72.51397530846165,High,78.01118024676933,Urgent
